ma_nut,khung_gio,phuong_an,chu_ky,offset,xanh_1,vang_1,do_1,xanh_2,vang_2,do_2,xanh_3,vang_3,do_3,xanh_4,vang_4,do_4,xanh_5,vang_5,do_5,xanh_6,vang_6,do_6,xanh_7,vang_7,do_7,xanh_8,vang_8,do_8
N0101,am,hien_trang,90,73,34,3,2,46,3,2,,,,,,,,,,,,,,,,,,
N0101,mid,hien_trang,80,8,30,3,2,40,3,2,,,,,,,,,,,,,,,,,,
N0101,pm,hien_trang,90,60,39,3,2,41,3,2,,,,,,,,,,,,,,,,,,
N0101,night,hien_trang,50,16,17,3,2,23,3,2,,,,,,,,,,,,,,,,,,
N0102,am,hien_trang,80,39,38,3,2,32,3,2,,,,,,,,,,,,,,,,,,
N0102,mid,hien_trang,70,38,28,3,2,32,3,2,,,,,,,,,,,,,,,,,,
N0102,pm,hien_trang,80,30,38,3,2,32,3,2,,,,,,,,,,,,,,,,,,
N0102,night,hien_trang,60,31,29,3,2,21,3,2,,,,,,,,,,,,,,,,,,
N0103,am,hien_trang,80,31,37,3,2,33,3,2,,,,,,,,,,,,,,,,,,
N0103,mid,hien_trang,70,16,28,3,2,32,3,2,,,,,,,,,,,,,,,,,,
N0103,pm,hien_trang,80,31,37,3,2,33,3,2,,,,,,,,,,,,,,,,,,
N0103,night,hien_trang,60,48,23,3,2,27,3,2,,,,,,,,,,,,,,,,,,
N0104,am,hien_trang,100,59,42,3,2,48,3,2,,,,,,,,,,,,,,,,,,
N0104,mid,hien_trang,90,40,43,3,2,37,3,2,,,,,,,,,,,,,,,,,,
N0104,pm,hien_trang,100,2,40,3,2,50,3,2,,,,,,,,,,,,,,,,,,
N0104,night,hien_trang,60,32,29,3,2,21,3,2,,,,,,,,,,,,,,,,,,
N0201,am,hien_trang,80,20,37,3,2,33,3,2,,,,,,,,,,,,,,,,,,
N0201,mid,hien_trang,70,42,32,3,2,28,3,2,,,,,,,,,,,,,,,,,,
N0201,pm,hien_trang,80,11,38,3,2,32,3,2,,,,,,,,,,,,,,,,,,
N0201,night,hien_trang,60,16,22,3,2,28,3,2,,,,,,,,,,,,,,,,,,
N0202,am,hien_trang,70,54,26,3,2,34,3,2,,,,,,,,,,,,,,,,,,
N0202,mid,hien_trang,60,33,21,3,2,29,3,2,,,,,,,,,,,,,,,,,,
N0202,pm,hien_trang,70,50,31,3,2,29,3,2,,,,,,,,,,,,,,,,,,
N0202,night,hien_trang,50,41,23,3,2,17,3,2,,,,,,,,,,,,,,,,,,
N0203,am,hien_trang,70,5,27,3,2,33,3,2,,,,,,,,,,,,,,,,,,
N0203,mid,hien_trang,60,41,24,3,2,26,3,2,,,,,,,,,,,,,,,,,,
N0203,pm,hien_trang,70,60,30,3,2,30,3,2,,,,,,,,,,,,,,,,,,
N0203,night,hien_trang,50,3,20,3,2,20,3,2,,,,,,,,,,,,,,,,,,
N0204,am,hien_trang,100,74,51,3,2,39,3,2,,,,,,,,,,,,,,,,,,
N0204,mid,hien_trang,90,80,44,3,2,36,3,2,,,,,,,,,,,,,,,,,,
N0204,pm,hien_trang,100,3,43,3,2,47,3,2,,,,,,,,,,,,,,,,,,
N0204,night,hien_trang,60,49,26,3,2,24,3,2,,,,,,,,,,,,,,,,,,
N0301,am,hien_trang,80,25,35,3,2,35,3,2,,,,,,,,,,,,,,,,,,
N0301,mid,hien_trang,70,23,30,3,2,30,3,2,,,,,,,,,,,,,,,,,,
N0301,pm,hien_trang,80,38,31,3,2,39,3,2,,,,,,,,,,,,,,,,,,
N0301,night,hien_trang,60,34,22,3,2,28,3,2,,,,,,,,,,,,,,,,,,
N0302,am,hien_trang,90,7,36,3,2,44,3,2,,,,,,,,,,,,,,,,,,
N0302,mid,hien_trang,80,35,41,3,2,29,3,2,,,,,,,,,,,,,,,,,,
N0302,pm,hien_trang,90,60,41,3,2,39,3,2,,,,,,,,,,,,,,,,,,
N0302,night,hien_trang,60,16,26,3,2,24,3,2,,,,,,,,,,,,,,,,,,
N0303,am,hien_trang,100,94,52,3,2,38,3,2,,,,,,,,,,,,,,,,,,
N0303,mid,hien_trang,90,19,40,3,2,40,3,2,,,,,,,,,,,,,,,,,,
N0303,pm,hien_trang,100,89,43,3,2,47,3,2,,,,,,,,,,,,,,,,,,
N0303,night,hien_trang,60,38,22,3,2,28,3,2,,,,,,,,,,,,,,,,,,
N0304,am,hien_trang,100,46,52,3,2,38,3,2,,,,,,,,,,,,,,,,,,
N0304,mid,hien_trang,90,73,39,3,2,41,3,2,,,,,,,,,,,,,,,,,,
N0304,pm,hien_trang,100,83,52,3,2,38,3,2,,,,,,,,,,,,,,,,,,
N0304,night,hien_trang,60,7,24,3,2,26,3,2,,,,,,,,,,,,,,,,,,
