tu_nut,den_nut,ten_duong,chieu_dai_m,so_lan,s_pcu_h,pha,q_am,v_am,q_mid,v_mid,q_pm,v_pm,q_night,v_night
N0101,N0102,Đường ĐT-01,,2,,2,1121,22,696,24,730,21,209,32
N0102,N0101,Đường ĐT-01,,2,,2,711,23,712,26,1130,22,211,34
N0101,N0201,Đường BN-01,,2,,1,1024,24,652,27,725,23,222,35
N0201,N0101,Đường BN-01,,2,,1,720,24,671,27,1115,23,187,35
N0102,N0103,Đường ĐT-01,,2,,2,620,25,559,27,882,24,174,36
N0103,N0102,Đường ĐT-01,,2,,2,593,22,584,25,871,21,185,33
N0102,N0202,Hẻm lớn BN-02,,1,,1,398,20,241,22,257,19,76,30
N0202,N0102,Hẻm lớn BN-02,,1,,1,319,21,312,23,466,20,96,31
N0103,N0104,Đường ĐT-01,,2,,2,644,22,654,25,967,21,208,32
N0104,N0103,Đường ĐT-01,,2,,2,833,24,597,27,577,23,181,35
N0103,N0203,Hẻm lớn BN-03,,1,,1,526,19,354,21,353,18,97,27
N0104,N0204,Trục BN-04,,3,,1,2204,26,1320,29,1439,25,443,39
N0204,N0104,Trục BN-04,,3,,1,1355,29,1418,32,2168,28,447,42
N0201,N0202,Hẻm lớn ĐT-02,,1,,2,483,19,281,21,302,18,93,28
N0202,N0201,Hẻm lớn ĐT-02,,1,,2,338,22,313,24,478,21,92,32
N0201,N0301,Đường BN-01,,2,,1,806,24,775,26,1143,23,216,35
N0301,N0201,Đường BN-01,,2,,1,1011,23,733,26,742,23,200,34
N0202,N0203,Hẻm lớn ĐT-02,,1,,2,345,20,334,22,575,19,106,29
N0203,N0202,Hẻm lớn ĐT-02,,1,,2,279,20,281,22,443,19,84,29
N0204,N0203,Hẻm lớn ĐT-02,,1,,2,541,20,353,22,385,19,113,29
N0203,N0303,Hẻm lớn BN-03,,1,,1,286,22,285,24,468,21,84,32
N0303,N0203,Hẻm lớn BN-03,,1,,1,376,18,243,20,261,18,70,27
N0204,N0304,Trục BN-04,,3,,1,1354,30,1413,34,2066,29,421,45
N0304,N0204,Trục BN-04,,3,,1,1939,30,1361,33,1478,28,430,43
N0301,N0302,Trục ĐT-03,,3,,2,1874,30,1253,33,1333,29,373,44
N0302,N0301,Trục ĐT-03,,3,,2,1006,28,1036,31,1529,27,318,41
N0302,N0303,Trục ĐT-03,,3,,2,1405,30,1470,33,2167,29,457,43
N0303,N0302,Trục ĐT-03,,3,,2,1544,28,1351,31,2185,27,435,41
N0303,N0304,Trục ĐT-03,,3,,2,1270,27,1109,31,1979,26,368,40
N0304,N0303,Trục ĐT-03,,3,,2,2328,30,1406,33,1467,29,430,44
